2026-03-04 05:06:59,415 INFO    MainThread:835092 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-04 05:06:59,416 INFO    MainThread:835092 [wandb_setup.py:_flush():81] Configure stats pid to 835092
2026-03-04 05:06:59,416 INFO    MainThread:835092 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-04 05:06:59,416 INFO    MainThread:835092 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/kowshik/Old_G/Semester_2/DL/Assignment_1/wandb/run-20260304_050659-blartgpv/logs/debug.log
2026-03-04 05:06:59,416 INFO    MainThread:835092 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/kowshik/Old_G/Semester_2/DL/Assignment_1/wandb/run-20260304_050659-blartgpv/logs/debug-internal.log
2026-03-04 05:06:59,416 INFO    MainThread:835092 [wandb_init.py:init():844] calling init triggers
2026-03-04 05:06:59,416 INFO    MainThread:835092 [wandb_init.py:init():849] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 32, 'hidden_size': 128, 'learning_rate': 0.011048251192526106, 'loss': 'cross_entropy', 'num_layers': 1, 'optimizer': 'sgd', 'weight_init': 'xavier'}
config: {'dataset': 'mnist', 'epochs': 10, 'batch_size': 32, 'optimizer': 'sgd', 'learning_rate': 0.011048251192526106, 'weight_decay': 0.0, 'num_layers': 1, 'hidden_size': [128], 'activation': 'sigmoid', 'weight_init': 'xavier', 'loss': 'cross_entropy', 'model_path': 'best_model.npy', 'wandb_project': 'dl_1', '_wandb': {}}
2026-03-04 05:06:59,416 INFO    MainThread:835092 [wandb_init.py:init():892] starting backend
2026-03-04 05:06:59,673 INFO    MainThread:835092 [wandb_init.py:init():895] sending inform_init request
2026-03-04 05:06:59,675 INFO    MainThread:835092 [wandb_init.py:init():903] backend started and connected
2026-03-04 05:06:59,675 INFO    MainThread:835092 [wandb_run.py:_config_callback():1403] config_cb None None {'activation': 'sigmoid', 'batch_size': 32, 'hidden_size': 128, 'learning_rate': 0.011048251192526106, 'loss': 'cross_entropy', 'num_layers': 1, 'optimizer': 'sgd', 'weight_init': 'xavier'}
2026-03-04 05:06:59,676 INFO    MainThread:835092 [wandb_init.py:init():973] updated telemetry
2026-03-04 05:06:59,678 INFO    MainThread:835092 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-04 05:07:03,485 INFO    MainThread:835092 [wandb_init.py:init():1042] starting run threads in backend
2026-03-04 05:07:03,645 INFO    MainThread:835092 [wandb_run.py:_console_start():2524] atexit reg
2026-03-04 05:07:03,645 INFO    MainThread:835092 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-04 05:07:03,645 INFO    MainThread:835092 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-04 05:07:03,645 INFO    MainThread:835092 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-04 05:07:03,647 INFO    MainThread:835092 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-04 05:07:03,647 INFO    MainThread:835092 [wandb_run.py:_config_callback():1403] config_cb None None {'architecture_status': 'consistent'}
2026-03-04 05:07:20,483 INFO    MainThread:835092 [wandb_run.py:_finish():2291] finishing run kowshikisme-indian-institute-of-technology-madras/dl_1/blartgpv
2026-03-04 05:07:20,483 INFO    MainThread:835092 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-03-04 05:07:20,484 INFO    MainThread:835092 [wandb_run.py:_restore():2472] restore
2026-03-04 05:07:20,484 INFO    MainThread:835092 [wandb_run.py:_restore():2478] restore done
2026-03-04 05:07:23,152 INFO    MainThread:835092 [wandb_run.py:_footer_sync_info():3868] logging synced files
