2026-03-04 01:43:44,623 INFO    MainThread:618727 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-04 01:43:44,624 INFO    MainThread:618727 [wandb_setup.py:_flush():81] Configure stats pid to 618727
2026-03-04 01:43:44,624 INFO    MainThread:618727 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-04 01:43:44,624 INFO    MainThread:618727 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/kowshik/Old_G/Semester_2/DL/Assignment_1/wandb/run-20260304_014344-e4guhcwv/logs/debug.log
2026-03-04 01:43:44,624 INFO    MainThread:618727 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/kowshik/Old_G/Semester_2/DL/Assignment_1/wandb/run-20260304_014344-e4guhcwv/logs/debug-internal.log
2026-03-04 01:43:44,624 INFO    MainThread:618727 [wandb_init.py:init():844] calling init triggers
2026-03-04 01:43:44,624 INFO    MainThread:618727 [wandb_init.py:init():849] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 32, 'hidden_size': 64, 'learning_rate': 0.09960322327459992, 'loss': 'mse', 'num_layers': 5, 'optimizer': 'nag', 'weight_init': 'xavier'}
config: {'dataset': 'mnist', 'epochs': 10, 'batch_size': 32, 'optimizer': 'nag', 'learning_rate': 0.09960322327459992, 'weight_decay': 0.0, 'num_layers': 5, 'hidden_size': [64], 'activation': 'sigmoid', 'weight_init': 'xavier', 'loss': 'mse', 'model_path': 'best_model.npy', 'wandb_project': 'dl_1', '_wandb': {}}
2026-03-04 01:43:44,624 INFO    MainThread:618727 [wandb_init.py:init():892] starting backend
2026-03-04 01:43:44,859 INFO    MainThread:618727 [wandb_init.py:init():895] sending inform_init request
2026-03-04 01:43:44,861 INFO    MainThread:618727 [wandb_init.py:init():903] backend started and connected
2026-03-04 01:43:44,862 INFO    MainThread:618727 [wandb_run.py:_config_callback():1403] config_cb None None {'activation': 'sigmoid', 'batch_size': 32, 'hidden_size': 64, 'learning_rate': 0.09960322327459992, 'loss': 'mse', 'num_layers': 5, 'optimizer': 'nag', 'weight_init': 'xavier'}
2026-03-04 01:43:44,862 INFO    MainThread:618727 [wandb_init.py:init():973] updated telemetry
2026-03-04 01:43:44,866 INFO    MainThread:618727 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-04 01:43:47,685 INFO    MainThread:618727 [wandb_init.py:init():1042] starting run threads in backend
2026-03-04 01:43:47,847 INFO    MainThread:618727 [wandb_run.py:_console_start():2524] atexit reg
2026-03-04 01:43:47,847 INFO    MainThread:618727 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-04 01:43:47,847 INFO    MainThread:618727 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-04 01:43:47,847 INFO    MainThread:618727 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-04 01:43:47,849 INFO    MainThread:618727 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-04 01:43:47,849 INFO    MainThread:618727 [wandb_run.py:_config_callback():1403] config_cb None None {'architecture_status': 'auto-corrected'}
2026-03-04 01:44:13,299 INFO    MainThread:618727 [wandb_run.py:_finish():2291] finishing run kowshikisme-indian-institute-of-technology-madras/dl_1/e4guhcwv
2026-03-04 01:44:13,300 INFO    MainThread:618727 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-03-04 01:44:13,300 INFO    MainThread:618727 [wandb_run.py:_restore():2472] restore
2026-03-04 01:44:13,300 INFO    MainThread:618727 [wandb_run.py:_restore():2478] restore done
2026-03-04 01:44:15,235 INFO    MainThread:618727 [wandb_run.py:_footer_sync_info():3868] logging synced files
