2026-03-05 14:47:06,642 INFO    MainThread:104587 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-05 14:47:06,643 INFO    MainThread:104587 [wandb_setup.py:_flush():81] Configure stats pid to 104587
2026-03-05 14:47:06,643 INFO    MainThread:104587 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-05 14:47:06,643 INFO    MainThread:104587 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/kowshik/Old_G/Semester_2/DL/Assignment_1/wandb/run-20260305_144706-bfgu9f8p/logs/debug.log
2026-03-05 14:47:06,643 INFO    MainThread:104587 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/kowshik/Old_G/Semester_2/DL/Assignment_1/wandb/run-20260305_144706-bfgu9f8p/logs/debug-internal.log
2026-03-05 14:47:06,643 INFO    MainThread:104587 [wandb_init.py:init():844] calling init triggers
2026-03-05 14:47:06,643 INFO    MainThread:104587 [wandb_init.py:init():849] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 64, 'hidden_size': [128, 64, 64], 'learning_rate': 0.00526939075976354, 'loss': 'mse', 'optimizer': 'nag', 'weight_init': 'random'}
config: {'dataset': 'mnist', 'epochs': 15, 'batch_size': 64, 'optimizer': 'nag', 'learning_rate': 0.00526939075976354, 'weight_decay': 0.0, 'num_layers': 3, 'hidden_size': [128, 64, 64], 'activation': 'tanh', 'weight_init': 'random', 'loss': 'mse', 'model_path': 'best_model.npy', 'wandb_project': 'dl_1', '_wandb': {}}
2026-03-05 14:47:06,643 INFO    MainThread:104587 [wandb_init.py:init():892] starting backend
2026-03-05 14:47:06,902 INFO    MainThread:104587 [wandb_init.py:init():895] sending inform_init request
2026-03-05 14:47:06,907 INFO    MainThread:104587 [wandb_init.py:init():903] backend started and connected
2026-03-05 14:47:06,908 INFO    MainThread:104587 [wandb_run.py:_config_callback():1403] config_cb None None {'activation': 'tanh', 'batch_size': 64, 'hidden_size': [128, 64, 64], 'learning_rate': 0.00526939075976354, 'loss': 'mse', 'optimizer': 'nag', 'weight_init': 'random'}
2026-03-05 14:47:06,909 INFO    MainThread:104587 [wandb_init.py:init():973] updated telemetry
2026-03-05 14:47:06,917 INFO    MainThread:104587 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-05 14:47:08,099 INFO    MainThread:104587 [wandb_init.py:init():1042] starting run threads in backend
2026-03-05 14:47:08,246 INFO    MainThread:104587 [wandb_run.py:_console_start():2524] atexit reg
2026-03-05 14:47:08,246 INFO    MainThread:104587 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-05 14:47:08,246 INFO    MainThread:104587 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-05 14:47:08,246 INFO    MainThread:104587 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-05 14:47:08,248 INFO    MainThread:104587 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-05 14:47:08,248 INFO    MainThread:104587 [wandb_run.py:_config_callback():1403] config_cb None None {'num_layers': 3, 'arch_status': 'synced_from_list'}
2026-03-05 14:47:36,699 INFO    MainThread:104587 [wandb_run.py:_finish():2291] finishing run kowshikisme-indian-institute-of-technology-madras/dl_1/bfgu9f8p
2026-03-05 14:47:36,699 INFO    MainThread:104587 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-03-05 14:47:36,699 INFO    MainThread:104587 [wandb_run.py:_restore():2472] restore
2026-03-05 14:47:36,699 INFO    MainThread:104587 [wandb_run.py:_restore():2478] restore done
2026-03-05 14:47:39,640 INFO    MainThread:104587 [wandb_run.py:_footer_sync_info():3868] logging synced files
